Latitude,Longitude,Positive,Negative,Mixed,Neutral,Count,Sentiment
42,-86,0.28917939,0.202189845,0.022156068,0.486474698,40,NEUTRAL
42,-85,0.14699968,0.277319919,0.045952036,0.529728379,40,NEUTRAL
42,-84,0.222453271,0.220547279,0.008566463,0.548432999,40,NEUTRAL
42,-83,0.105472493,0.232478224,0.002712838,0.659336446,40,NEUTRAL
42,-82,0.080824467,0.191542199,0.011808946,0.715824386,40,NEUTRAL
42,-81,0.299615209,0.224806004,0.016381543,0.459197241,40,NEUTRAL
42,-80,0.178948718,0.181527028,0.026719233,0.612805023,40,NEUTRAL
42,-79,0.077771134,0.289161558,0.004182167,0.628885144,40,NEUTRAL
42,-78,0.082298044,0.141841889,0.032232657,0.74362745,40,NEUTRAL
42,-77,0.075953038,0.229271676,0.041297354,0.653477937,40,NEUTRAL
42,-76,0.050326638,0.289179071,0.014351127,0.646143169,40,NEUTRAL
42,-75,0.171028194,0.235847361,0.028883319,0.564241123,39,NEUTRAL
42,-74,0.018352829,0.325162229,0.036735372,0.619749539,40,NEUTRAL
42,-73,0.172419277,0.136695125,0.008510294,0.682375286,40,NEUTRAL
42,-72,0.223654402,0.116636987,0.011201117,0.648507503,36,NEUTRAL
42,-71,0.160875001,0.29894696,0.042377784,0.497800256,273,NEUTRAL
43,-98,0.045218866,0.047814927,0.006536915,0.900429272,32,NEUTRAL
43,-97,0.235950909,0.400334378,0.019739281,0.343975451,11,NEGATIVE
43,-96,0.086013856,0.180820928,0.014905531,0.718259677,8,NEUTRAL
43,-95,0.066419435,0.261822471,0.012399354,0.65935873,40,NEUTRAL
43,-94,0.253500991,0.148969054,0.033101261,0.564428695,7,NEUTRAL
43,-93,0.110646969,0.117463389,0.010402153,0.761487489,25,NEUTRAL
43,-92,0.066903876,0.216876148,0.002258867,0.713961096,7,NEUTRAL
43,-91,0.031484967,0.042430561,0.459039882,0.467044554,2,NEUTRAL
43,-90,0.054146389,0.633991854,0.002391765,0.30946996,40,NEGATIVE
43,-89,0.051808995,0.647628702,0.001496956,0.299065311,40,NEGATIVE
43,-88,0.106306411,0.21953127,0.134874102,0.539288214,40,NEUTRAL
43,-86,0.222537831,0.272720316,0.050146978,0.454594876,40,NEUTRAL
43,-85,0.050115527,0.220893202,0.007987579,0.721003686,40,NEUTRAL
43,-84,0.084835177,0.199821893,0.017259553,0.698083364,39,NEUTRAL
43,-83,0.198909092,0.176581747,0.009198816,0.615310353,40,NEUTRAL
43,-82,0.076465569,0.115811509,0.016431284,0.791291604,40,NEUTRAL
43,-81,0.305905757,0.24564668,0.039079641,0.409367915,40,NEUTRAL
43,-80,0.08697813,0.419863273,0.064045197,0.429113356,40,NEUTRAL
43,-79,0.110605063,0.146431356,0.021415765,0.721547802,40,NEUTRAL
43,-78,0.171666831,0.285169884,0.026972878,0.516190408,39,NEUTRAL
43,-77,0.151090892,0.225102386,0.007961751,0.615844971,40,NEUTRAL
43,-76,0.243750801,0.205490864,0.007896097,0.54286224,40,NEUTRAL
43,-75,0.267551206,0.150159075,0.038667786,0.543621938,40,NEUTRAL
43,-74,0.094312487,0.186330873,0.002329158,0.717027463,40,NEUTRAL
43,-73,0.43659849,0.123571298,0.024961777,0.414868427,40,POSITIVE
43,-72,0.16766427,0.321163107,0.042006395,0.46916624,40,NEUTRAL
43,-71,0.154657499,0.281678122,0.023257296,0.540407083,348,NEUTRAL
45,-97,0.096954897,0.377325069,0.029607678,0.496112335,10,NEUTRAL
45,-96,0.046846991,0.366058534,0.195653319,0.391441138,3,NEUTRAL
45,-95,0.243730382,0.319976006,0.041176253,0.395117345,37,NEUTRAL
45,-94,0.167646814,0.179303655,0.062052164,0.590997367,40,NEUTRAL
45,-93,0.130978278,0.303952753,0.024765957,0.540303015,40,NEUTRAL
45,-92,0.099459536,0.169860474,0.008097332,0.722582662,40,NEUTRAL
45,-91,0.104561054,0.177302891,0.0094343,0.708701757,40,NEUTRAL
45,-90,0.105540224,0.227879276,0.018435227,0.648145268,40,NEUTRAL
45,-89,0.129163411,0.238848612,0.01954123,0.612446744,40,NEUTRAL
45,-88,0.068926402,0.113026532,0.036006296,0.782040772,40,NEUTRAL
45,-87,0.000983417,0.628521374,0.000145905,0.370349302,3,NEGATIVE
45,-86,0.13274886,0.35261432,0.045698361,0.468938449,31,NEUTRAL
45,-85,0.081993813,0.221887169,0.055315025,0.640803994,9,NEUTRAL
45,-84,0.025678728,0.519581311,0.000590247,0.454149691,7,NEGATIVE
45,-83,0.057271042,0.001620376,8.51E-05,0.941023409,3,NEUTRAL
45,-81,0.098969704,0.118121827,0.012409962,0.770498516,39,NEUTRAL
45,-80,0.079617886,0.320149915,0.157873508,0.442358691,23,NEUTRAL
45,-79,0.122363136,0.216001291,0.015800458,0.645835101,40,NEUTRAL
45,-77,0.047879636,0.00679184,2.94E-05,0.945299208,1,NEUTRAL
45,-76,0.047724947,0.271931301,0.031318864,0.649024872,40,NEUTRAL
45,-75,0.124802446,0.264490563,0.031393657,0.579313339,40,NEUTRAL
45,-74,0.458826905,0.12368535,0.135716753,0.281770977,40,POSITIVE
45,-73,0.114232664,0.139462753,0.007515939,0.738788634,40,NEUTRAL
45,-72,0.123746261,0.361322135,0.056196678,0.458734922,11,NEUTRAL
45,-71,0.133275245,0.263160266,0.025059856,0.57850463,350,NEUTRAL
46,-98,0.043104342,0.379238603,0.038081259,0.5395758,40,NEUTRAL
46,-97,0.009230859,0.035129448,5.89E-05,0.95558086,4,NEUTRAL
46,-96,0.069087877,0.541933804,0.009191441,0.379786868,14,NEGATIVE
46,-95,0.064054349,0.020219165,0.003141319,0.912585147,15,NEUTRAL
46,-94,0.07493725,0.137320283,0.012547182,0.775195298,40,NEUTRAL
46,-93,0.079010344,0.588606898,0.107237566,0.225145218,4,NEGATIVE
46,-92,0.042283613,0.046798377,0.005999493,0.904918492,3,NEUTRAL
46,-91,0.05946089,0.114026882,0.007461271,0.819050968,1,NEUTRAL
46,-89,0.351031623,0.127148322,0.073780182,0.448039852,3,NEUTRAL
46,-88,0.271122431,0.20251075,0.015240414,0.511126403,39,NEUTRAL
46,-87,0.003020589,0.84378612,0.001431417,0.151761755,1,NEGATIVE
46,-86,0.048246406,0.49839583,0.274523973,0.178833738,1,NEGATIVE
46,-85,0.062501699,0.181958139,0.00057648,0.754963815,1,NEUTRAL
46,-84,0.10660431,0.323036058,0.004690861,0.565668732,3,NEUTRAL
46,-83,0.107334353,0.290164918,0.011328503,0.591172159,1,NEUTRAL
46,-82,0.014732285,0.416078419,0.031200968,0.537988364,10,NEUTRAL
46,-81,0.091916097,0.236713532,0.017127868,0.654242499,40,NEUTRAL
46,-79,0.040784638,0.426525491,0.026174578,0.506515277,40,NEUTRAL
46,-77,0.037125894,0.106194833,0.005260864,0.851418389,15,NEUTRAL
46,-76,0.104889491,0.619138446,0.024235627,0.251736439,5,NEGATIVE
46,-75,0.069412363,0.367042688,0.080156475,0.483388456,13,NEUTRAL
46,-74,0.257081129,0.23530724,0.025120988,0.482490646,14,NEUTRAL
46,-73,0.058844087,0.167214828,0.00420466,0.769736389,3,NEUTRAL
46,-72,0.071656022,0.327440625,0.023718212,0.577185132,4,NEUTRAL
46,-71,0.143722264,0.281815607,0.041872487,0.532589646,373,NEUTRAL
47,-99,0.050893907,0.318345394,0.000360826,0.630399892,10,NEUTRAL
47,-97,0.072096441,0.20890833,0.009349108,0.709646119,40,NEUTRAL
47,-96,0.036807229,0.291089007,0.028343449,0.643760285,11,NEUTRAL
47,-95,0.287491088,0.109301678,0.015995943,0.587211281,40,NEUTRAL
47,-94,0.10903636,0.203256279,0.025891693,0.661815686,9,NEUTRAL
47,-93,0.070490227,0.458203293,0.025035412,0.446271067,9,NEGATIVE
47,-92,0.162248406,0.080318186,0.007907258,0.749526154,40,NEUTRAL
47,-91,0.111642988,0.356834756,0.029355887,0.502166377,40,NEUTRAL
47,-89,0.068876443,0.258506293,0.031028893,0.641588357,40,NEUTRAL
